Regions,Target'000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Universe,Universe HH,A,B,CDE,ABC,Male,Female,2-12,2-14,13-21,15-21,22-30,31-40,41-50,51-60,61+,MF 15-30 CDE,MF 15-30 ABCDE,MF 15-30 A,MF 2-14 AB,MF 15-40 AB,MF 15-30 AB,MF 13-21 AB,MF 2-40 AB,MF 13-21 A,F 22-50 AB,F 22-50 A,F 22-40 AB,MF 15-40 ABCDE,MF 13-21 ABCDE,15-30,F 22-40 ABC,MF 22-40 AB,MF 13-21 ABC,F 22-40 BCDE,F 22-40 A,MF 13-21 BCDE,MF 13-21 CDE,MF 31-50 AB,MF 15-30 ABC,MF 15-21 ABC,MF 2-40 ABC,MF 2-14 ABC,MF 22+ ABC,F 15-21 A,F 22-30 A,F 21-40 A,F 41-50 A,F 51-60 A,F 61+ A,M 15-21 A,M 22-30 A,M 31-40 A,M 41-50 A,M 51-60 A,M 61+ A,MF 15-21 AB,MF 22-30 AB,MF 31-40 AB,MF 41-50 AB,MF 51-60 AB,MF 61+ AB,F 15-21 AB,F 22-30 AB,F 31-40 AB,F 41-50 AB,F 51-60 AB,F 61+ AB,M 15-21 AB,M 22-30 AB,M 31-40 AB,M 41-50 AB,M 51-60 AB,M 61+ AB,F 2-40 A,F 22+ ABC
India Rural,"505,270.64","119,220.99","94,255.67","164,992.71","246,022.26","446,981.05","258,300.62","246,970.02","107,091.43","139,669.81","105,478.50","72,900.11","86,697.80","75,924.54","56,214.13","36,851.39","37,012.85","81,596.96","159,597.91","27,747.68","70,497.60","118,305.17","78,000.95","48,390.28","188,802.77","15,035.40","54,899.82","20,535.32","41,009.90","235,522.45","105,478.50","159,597.91","71,962.99","84,878.09","90,582.99","65,302.81","15,610.66","90,443.09","57,088.22","70,586.82","141,939.40","62,297.39","331,944.01","122,696.09","212,163.30","4,910.02","8,373.90","7,236.76","4,924.65","4,146.52","4,506.96","5,789.15","8,674.61","8,083.56","5,900.74","3,462.66","3,943.43","33,427.08","44,573.88","40,304.22","30,282.61","19,901.34","20,261.66","15,937.99","21,591.99","19,417.91","13,889.92","10,549.31","10,799.47","17,489.09","22,981.89","20,886.31","16,392.69","9,352.03","9,462.19","31,416.65","129,320.21"
Mega Cities,"92,355.71","22,800.52","41,765.13","26,722.90","23,867.67","89,058.50","48,174.02","44,181.69","15,187.55","19,424.83","16,949.88","12,712.60","18,115.26","16,294.87","11,568.01","7,554.18","6,685.95","9,126.47","30,827.86","13,079.01","14,186.53","33,989.39","21,701.40","11,443.07","48,175.93","6,290.57","16,454.86","10,115.48","12,081.78","47,122.73","16,949.88","30,827.86","16,092.63","25,303.58","16,134.95","9,101.02","7,570.44","10,659.31","5,506.82","21,320.05","29,672.42","12,146.65","64,165.84","18,706.72","47,033.15","2,124.34","3,954.97","3,615.47","2,545.04","1,795.78","1,648.49","2,713.78","4,285.93","4,125.53","2,889.32","1,849.14","1,776.39","8,685.81","13,015.58","12,288.00","9,032.05","5,934.63","5,345.42","3,834.35","6,278.90","5,802.89","4,373.07","2,808.28","2,650.72","4,851.46","6,736.69","6,485.11","4,658.98","3,126.35","2,694.70","13,630.74","28,053.22"
10-75L,"84,265.94","19,956.34","32,279.20","27,553.35","24,433.39","80,248.47","43,136.95","41,128.99","15,170.47","19,715.07","16,464.74","11,920.14","14,943.54","13,918.09","10,585.81","6,902.40","6,280.89","8,660.20","26,863.67","9,391.67","13,559.13","28,293.71","18,203.47","10,379.94","41,852.84","4,937.81","14,204.54","7,686.54","10,326.49","40,781.77","16,464.74","26,863.67","13,964.78","20,816.80","15,115.13","8,932.73","5,617.81","11,526.92","6,084.80","18,014.97","25,428.07","10,917.13","57,401.88","18,743.16","40,369.18","1,648.83","2,803.31","2,814.50","2,068.73","1,530.63","1,467.65","1,926.84","3,012.69","2,829.73","2,102.55","1,437.18","1,532.18","7,476.91","10,726.56","10,090.24","7,924.73","5,277.42","4,777.56","3,414.00","5,245.67","5,080.82","3,878.05","2,694.85","2,354.46","4,062.91","5,480.89","5,009.42","4,046.68","2,582.56","2,423.11","10,508.96","25,346.01"
10L+,"176,621.65","42,756.85","74,044.33","54,276.26","48,301.06","169,306.97","91,310.97","85,310.68","30,358.03","39,139.90","33,414.62","24,632.74","33,058.80","30,212.97","22,153.83","14,456.58","12,966.83","17,786.67","57,691.54","22,470.68","27,745.66","62,283.11","39,904.87","21,823.00","90,028.77","11,228.38","30,659.40","17,802.02","22,408.28","87,904.50","33,414.62","57,691.54","30,057.41","46,120.39","31,250.08","18,033.75","13,188.25","22,186.24","11,591.62","39,335.02","55,100.49","23,063.78","121,567.71","37,449.88","87,402.33","3,773.17","6,758.28","6,429.98","4,613.77","3,326.41","3,116.14","4,640.62","7,298.62","6,955.26","4,991.87","3,286.32","3,308.57","16,162.72","23,742.15","22,378.24","16,956.78","11,212.05","10,122.99","7,248.36","11,524.56","10,883.71","8,251.12","5,503.13","5,005.18","8,914.37","12,217.58","11,494.53","8,705.66","5,708.92","5,117.81","24,139.70","53,399.23"
Below 10L Urban,"206,599.41","48,230.05","61,858.26","62,897.93","81,843.22","189,565.56","105,153.37","101,446.04","37,485.88","48,474.96","41,314.56","30,325.48","38,099.31","33,493.46","25,110.53","16,172.64","14,923.03","30,286.28","68,424.79","18,579.22","28,476.34","59,121.54","38,138.52","21,995.88","87,597.88","9,712.50","29,451.97","14,762.83","21,525.59","101,918.25","41,314.56","68,424.79","33,205.71","43,142.43","37,151.60","25,068.51","10,858.73","31,602.05","19,318.68","37,406.04","62,367.39","27,102.70","137,612.22","44,209.73","94,959.23","3,243.90","5,798.62","5,060.11","3,904.11","2,814.14","2,699.87","3,878.59","5,658.12","5,394.83","4,115.22","2,758.47","2,914.69","15,979.11","22,159.40","20,983.02","16,423.02","10,821.76","9,913.53","7,488.78","11,110.11","10,415.48","7,926.37","5,289.81","4,877.63","8,490.33","11,049.29","10,567.54","8,496.64","5,531.96","5,035.90","20,482.91","58,501.78"
AP / Telangana - Urban,"32,968.19","8,724.08","8,007.38","9,982.74","14,978.07","29,870.28","16,364.38","16,603.81","5,522.18","7,189.13","6,616.05","4,949.09","6,370.79","5,557.82","3,908.21","2,522.52","2,470.61","5,748.12","11,319.89","2,492.51","4,112.88","8,855.19","5,571.77","3,036.97","12,968.07","1,153.68","4,432.58","1,989.97","3,308.06","16,877.70","6,616.05","11,319.89","5,609.49","6,684.80","5,917.86","4,588.83","1,512.80","5,462.37","3,579.07","5,573.47","10,274.98","4,381.90","21,962.68","6,581.31","15,359.68",474.97,882.26,630.54,477.17,360.25,n.a,364.37,770.90,854.89,473.76,308.55,n.a,"2,170.39","3,401.38","3,283.42","2,290.05","1,434.97","1,297.03","1,193.11","1,779.74","1,528.32","1,124.52",729.11,665.55,977.28,"1,621.64","1,755.11","1,165.53",705.86,631.48,"2,810.36","9,566.95"
Assam / North East / Sikkim - Urban,"9,073.11","2,082.32","2,120.27","2,575.97","4,376.86","7,959.45","4,521.38","4,551.73","1,637.62","2,102.28","1,749.36","1,284.70","1,750.53","1,498.33","1,082.17",713.25,641.84,"1,579.24","3,035.24",n.a,"1,042.68","2,244.83","1,456.00",825.80,"3,287.51",n.a,"1,097.42",n.a,838.41,"4,533.56","1,749.36","3,035.24","1,513.36","1,644.59","1,458.04","1,327.91",n.a,"1,402.31",923.56,"1,399.19","2,644.88","1,100.90","5,765.28","1,771.28","4,108.62",n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,855.76,788.83,610.36,415.19,383.19,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,379.11,n.a,n.a,n.a,708.22,"2,527.75"
Guj / D&D / DNH - Urban,"28,867.07","6,592.67","9,622.64","9,979.54","9,264.89","27,250.46","15,226.38","13,640.69","4,952.19","6,386.57","6,143.47","4,709.09","5,661.44","4,707.64","3,374.98","2,136.52","1,890.83","3,859.04","10,370.52","2,981.85","4,121.72","9,866.79","6,511.48","3,686.70","13,988.51","1,647.94","4,677.32","2,274.59","3,407.63","15,078.17","6,143.47","10,370.52","4,753.11","7,120.48","5,631.74","3,339.09","1,657.71","4,495.53","2,456.77","5,906.04","9,698.54","4,275.58","20,158.00","5,996.44","13,743.36",555.42,792.02,865.70,616.88,418.12,482.17,686.00,948.41,863.59,660.38,460.99,401.54,"2,746.32","3,765.17","3,355.31","2,550.73","1,630.32","1,432.61","1,268.54","1,769.39","1,638.25","1,269.69",813.54,753.29,"1,477.78","1,995.78","1,717.06","1,281.04",816.78,679.32,"3,027.93","8,271.46"
Karnataka - Urban,"27,705.54","7,105.28","9,342.83","8,856.70","9,506.01","25,761.94","14,105.15","13,600.39","4,556.14","6,069.70","5,315.82","3,802.26","5,641.47","4,732.17","3,346.41","2,196.34","1,917.19","3,800.50","9,443.73","2,962.91","3,959.16","8,866.85","5,643.23","3,006.10","12,826.00","1,388.23","4,422.25","2,380.84","3,315.95","14,175.90","5,315.82","9,443.73","4,748.93","6,760.44","4,775.55","3,335.58","1,799.09","3,927.59","2,309.73","5,561.63","8,675.21","3,390.11","18,755.32","5,662.09","13,569.68",485.32,"1,041.87",757.22,581.74,406.22,369.21,464.74,970.99,853.10,603.46,441.25,408.12,"2,106.41","3,536.82","3,223.62","2,338.01","1,628.12","1,407.39","1,040.40","1,811.39","1,504.56","1,106.30",800.82,703.53,"1,066.01","1,725.42","1,719.06","1,231.72",827.30,703.87,"3,218.39","8,178.02"
Kerala - Urban,"15,997.70","4,114.99","6,238.58","6,358.36","3,400.76","15,828.98","7,611.77","8,385.92","2,649.20","3,409.08","2,516.08","1,756.19","2,301.12","2,553.28","2,287.91","1,734.36","1,955.75",837.87,"4,057.31","1,613.40","2,777.87","5,309.54","3,219.44","1,891.15","8,087.41",787.00,"3,101.01","1,517.80","2,138.69","6,610.59","2,516.08","4,057.31","2,637.47","3,991.88","2,485.85","1,554.15","1,098.09","1,729.09",624.94,"3,858.72","4,034.49","1,733.37","9,954.40","3,401.68","8,432.19",n.a,537.69,560.40,419.71,349.98,353.05,n.a,533.98,552.44,n.a,260.23,408.53,"1,317.66","1,901.78","2,090.10","1,768.61","1,320.58","1,420.33",623.48,987.94,"1,150.75",962.32,661.42,690.56,694.18,913.84,939.36,806.30,659.16,729.77,"2,121.57","5,702.46"
Mah / Goa - Urban,"55,274.64","13,026.37","20,845.85","18,735.92","15,692.88","52,857.48","28,856.65","26,418.00","9,321.74","11,988.00","10,607.61","7,941.35","10,589.68","9,492.93","6,942.64","4,378.48","3,941.57","6,474.81","18,531.03","6,454.60","8,569.95","19,012.24","12,056.22","6,691.99","27,582.19","3,205.71","9,390.90","5,078.99","6,745.00","28,023.96","10,607.61","18,531.03","9,287.48","14,052.43","9,958.23","6,051.85","3,681.86","7,401.90","3,915.63","12,333.80","17,624.12","7,438.33","38,250.87","11,512.79","27,234.05",993.38,"1,908.46","1,773.40","1,397.13",897.73,869.55,"1,468.32","2,084.45","1,981.86","1,481.13",922.78,904.19,"4,959.81","7,096.41","6,956.01","5,377.79","3,521.89","3,099.90","2,067.32","3,429.67","3,315.33","2,645.90","1,722.58","1,569.72","2,892.49","3,666.75","3,640.68","2,731.89","1,799.31","1,530.18","6,633.99","16,429.62"
Odisha - Urban,"6,412.31","1,540.02","2,445.92","1,794.55","2,171.84","5,862.24","3,253.03","3,159.28","1,052.69","1,367.98","1,212.03",896.74,"1,240.99","1,094.89",806.35,549.09,456.27,789.95,"2,137.73",770.86,845.86,"2,062.72","1,347.78",759.27,"2,908.57",357.45,"1,066.55",647.90,795.18,"3,232.62","1,212.03","2,137.73","1,150.35","1,483.02","1,113.03",722.60,500.85,854.57,n.a,"1,301.20","1,977.61",828.55,"4,202.96","1,209.73","3,084.92",n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,579.70,768.08,714.94,586.25,388.79,356.85,n.a,402.34,392.84,271.37,n.a,n.a,n.a,365.74,322.10,314.88,n.a,n.a,839.66,"1,910.56"
Pun / Har / Cha / HP / J&K - Urban,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
Rajasthan - Urban,"16,134.65","3,358.15","5,732.52","5,245.18","5,156.95","15,351.68","8,163.13","7,971.52","3,190.81","4,299.74","3,659.25","2,550.31","2,908.59","2,520.11","1,867.50","1,131.54",856.86,"1,840.26","5,458.90","1,816.35","2,758.95","5,401.97","3,618.64","2,358.47","8,160.92","1,085.30","2,571.33","1,379.35","1,893.93","7,979.02","3,659.25","5,458.90","2,681.15","3,753.87","3,400.62","1,759.21","1,022.59","2,573.95","1,300.78","3,150.43","5,249.76","2,389.73","11,582.70","3,956.01","7,168.87",n.a,529.07,493.51,356.76,250.53,n.a,404.86,549.81,440.48,360.93,230.89,192.59,"1,648.11","1,970.54","1,783.33","1,367.10",823.76,625.91,759.58,984.49,909.45,677.40,427.26,314.55,888.53,986.05,873.88,689.70,396.50,311.36,"1,957.95","4,582.55"
TN/Pondicherry - Urban,"39,863.60","11,354.40","14,688.49","12,971.82","12,203.29","38,080.02","19,549.79","20,313.81","6,167.07","8,036.72","6,869.46","4,999.80","6,912.35","6,964.21","5,505.94","3,944.31","3,500.27","3,580.49","11,912.15","4,428.64","5,700.33","13,405.92","8,331.66","4,358.42","19,106.25","1,927.07","7,185.53","3,922.00","5,297.38","18,876.36","6,869.46","11,912.15","7,000.35","10,274.59","6,553.24","4,266.41","2,960.43","4,942.39","2,511.04","8,918.77","11,477.32","4,745.33","26,002.50","7,775.37","20,304.79",683.12,"1,585.29","1,375.14",961.58,662.48,553.73,674.60,"1,485.63","1,416.93","1,003.69",683.57,580.06,"3,131.33","5,200.33","5,074.26","3,844.51","2,592.07","2,117.47","1,570.97","2,738.55","2,558.83","1,888.15","1,245.52","1,027.80","1,560.36","2,461.78","2,515.43","1,956.36","1,346.55","1,089.68","5,081.56","12,933.54"
UP/Uttarakhand - Urban,"34,749.63","6,758.78","12,883.51","9,608.17","12,257.96","32,162.81","18,322.99","16,426.65","7,281.42","9,359.73","7,760.95","5,682.64","6,240.00","5,115.65","3,786.05","2,360.78","2,204.77","4,597.58","11,922.64","3,939.90","5,622.58","10,681.36","7,325.06","4,412.26","16,303.94","2,250.33","4,726.72","2,703.76","3,512.53","17,038.29","7,760.95","11,922.64","5,086.20","7,404.79","6,889.07","3,449.74","2,014.00","5,510.62","3,348.69","6,010.49","10,888.24","5,011.68","24,244.20","8,585.90","15,016.97",691.81,"1,048.60",965.40,689.77,622.54,578.32,984.29,"1,215.21",985.92,836.80,515.22,695.39,"3,276.58","4,048.48","3,356.31","2,654.19","1,799.44","1,734.11","1,369.64","1,858.20","1,654.33","1,214.19",929.90,801.29,"1,906.94","2,190.28","1,701.97","1,440.00",869.53,932.82,"4,063.16","8,917.43"
West Bengal - Urban,"28,489.62","7,078.13","6,011.22","7,580.64","14,897.76","25,375.68","14,569.32","13,920.29","4,551.57","5,830.17","4,698.06","3,419.46","5,046.81","5,029.23","3,984.73","2,558.85","2,620.37","4,905.98","8,466.27","1,463.37","2,519.41","5,894.79","3,560.29","1,858.65","8,414.19",695.78,"3,239.29","1,370.89","2,311.17","13,495.50","4,698.06","8,466.27","4,666.21","4,516.24","4,001.85","4,267.41",949.35,"4,002.28","2,839.41","4,318.14","7,430.21","2,925.55","17,059.35","5,105.26","13,778.40",n.a,468.97,480.38,421.54,343.21,429.08,n.a,465.67,573.70,412.01,370.97,523.71,"1,378.54","2,181.74","2,334.50","1,983.64","1,443.40","1,750.63",614.26,"1,129.19","1,181.98",928.12,666.23,818.37,764.28,"1,052.55","1,152.52","1,055.51",777.16,932.26,"1,644.38","8,469.68"
Bihar/Jharkhand - Urban,"15,370.82","3,110.38","4,847.12","3,934.25","6,589.45","13,604.52","8,055.90","7,314.92","3,342.51","4,366.00","3,440.71","2,417.22","2,690.91","2,409.15","1,595.58","1,029.46",862.50,"2,417.52","5,108.14","1,380.15","2,343.60","4,112.71","2,690.62","1,652.69","6,456.31",805.89,"1,886.95","1,012.95","1,448.88","7,517.29","3,440.71","5,108.14","2,256.81","2,887.64","2,984.86","1,778.43",771.99,"2,634.81","1,788.02","2,415.66","4,500.62","2,102.75","10,440.48","3,812.11","6,256.56",n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,"1,225.07","1,465.54","1,422.10",993.57,689.81,641.68,557.20,748.47,700.40,438.08,315.73,323.13,667.88,717.07,721.69,555.49,374.08,318.55,"1,681.07","3,714.77"
MP/Chhattisgarh - Urban,"25,582.25","5,923.53","7,477.87","7,564.63","10,539.74","23,215.10","13,088.74","12,493.51","4,835.81","6,224.38","5,339.23","3,950.66","4,925.83","4,164.60","3,042.28","1,839.66","1,434.83","4,267.20","8,876.50","2,108.93","3,428.52","7,154.39","4,609.30","2,661.38","10,582.91","1,191.80","3,546.98","1,769.58","2,524.07","13,041.09","5,339.23","8,876.50","4,046.50","5,205.99","4,689.62","3,174.01","1,258.08","4,147.44","2,677.86","4,658.13","7,854.83","3,412.09","17,370.65","5,709.33","11,263.90",369.73,608.16,649.93,511.49,346.51,328.17,490.83,640.21,655.58,577.60,304.12,304.08,"1,948.39","2,660.91","2,545.09","2,113.04","1,305.72","1,040.83",864.74,"1,258.71","1,265.37","1,022.91",644.89,534.48,"1,083.66","1,402.20","1,279.72","1,090.13",660.83,506.35,"2,395.25","6,949.83"
Pun/Cha - Urban,"11,908.46","2,735.37","5,975.93","3,404.84","2,527.69","11,580.78","6,295.64","5,612.82","2,150.19","2,606.32","2,153.76","1,697.62","2,191.07","1,938.99","1,547.74","1,016.09",910.62,n.a,"3,888.69","1,732.28","1,959.96","4,503.98","2,942.34","1,635.23","6,463.94",943.12,"2,232.52","1,409.87","1,588.84","5,827.68","2,153.76","3,888.69","2,001.73","3,242.72","2,067.08","1,021.99",995.94,"1,210.63",n.a,"2,843.89","3,793.82","1,635.94","8,177.44","2,486.41","5,946.64",n.a,n.a,503.12,413.93,n.a,n.a,n.a,505.52,521.42,404.34,n.a,n.a,"1,261.26","1,681.08","1,561.64","1,282.26",860.79,773.79,549.11,827.95,760.89,643.68,403.39,343.15,712.15,853.13,800.75,638.58,457.41,430.63,"1,890.30","3,614.03"
Har/HP/J&K - Urban,"8,749.96","1,906.25","4,603.74","2,271.57","1,874.64","8,525.91","4,671.99","4,077.97","1,676.68","2,086.69","1,623.34","1,213.32","1,664.15","1,422.09","1,040.28",637.40,686.03,684.73,"2,877.47","1,462.40","1,579.21","3,318.99","2,192.75","1,191.03","4,898.20",751.10,"1,539.59","1,069.41","1,120.58","4,299.56","1,623.34","2,877.47","1,354.28","2,404.29","1,623.34",628.31,773.67,872.24,n.a,"1,986.25","2,808.80","1,213.32","6,162.21","1,992.90","4,279.40",n.a,402.96,370.71,295.74,n.a,n.a,n.a,502.58,383.56,n.a,n.a,n.a,914.70,"1,278.05","1,126.24",860.01,544.46,572.65,380.35,564.84,555.73,419.01,287.59,n.a,534.35,713.20,570.51,440.99,256.87,n.a,"1,461.97","2,564.28"
HSM,"619,471.60","138,262.43","166,976.91","192,865.90","259,628.80","560,299.48","321,795.65","297,675.96","129,972.22","167,774.57","129,045.80","91,243.45","110,040.67","96,159.89","69,415.08","43,896.17","40,941.78","91,256.39","201,284.11","49,781.57","92,840.75","167,440.85","110,027.73","66,336.82","260,281.60","27,059.36","78,200.25","37,167.40","57,887.73","297,444.01","129,045.80","201,284.11","91,722.40","120,163.24","112,876.55","73,409.40","27,565.92","101,986.43","62,708.97","101,195.79","181,913.31","79,567.03","418,901.08","149,948.35","267,524.81","8,685.72","14,240.89","13,325.03","9,601.48","7,273.80","7,519.33","11,207.69","15,647.27","14,317.31","11,035.47","6,910.79","7,412.83","47,277.61","62,750.12","57,413.12","43,782.67","28,424.29","27,354.25","21,215.70","29,923.19","27,964.54","20,312.52","14,318.56","14,013.58","26,061.90","32,826.93","29,448.58","23,470.15","14,105.72","13,340.67","54,047.41","160,679.21"
HSM Urban,"266,686.03","59,688.16","97,625.31","79,004.58","90,056.14","249,331.31","138,833.25","127,852.78","48,949.33","62,910.22","53,411.76","39,450.88","49,932.37","43,898.95","32,215.89","20,231.68","18,046.04","34,105.97","89,383.25","29,552.45","39,671.77","84,967.14","55,277.29","31,526.25","124,638.91","15,684.91","40,970.00","22,754.24","29,873.79","133,282.20","53,411.76","89,383.25","43,266.87","61,551.10","48,669.17","29,357.29","16,676.57","37,726.85","21,885.52","52,828.46","83,005.88","35,915.77","182,505.02","58,239.17","124,695.22","5,096.69","8,509.79","8,166.78","6,077.68","4,361.62","4,224.04","6,750.72","9,195.25","8,672.72","6,696.62","4,351.19","4,538.32","23,416.04","31,861.24","29,689.86","23,138.61","15,058.07","13,794.30","10,309.18","15,317.05","14,556.74","11,096.21","7,356.06","6,795.39","13,106.86","16,544.19","15,133.12","12,042.40","7,702.01","6,998.91","31,390.72","75,520.04"
HSM 10L+,"125,373.69","28,767.35","52,751.74","37,831.18","34,790.76","120,059.78","65,854.09","59,519.59","22,156.89","28,498.27","24,546.01","18,204.63","23,430.15","21,292.76","15,587.70","9,848.85","8,511.33","13,260.63","41,634.78","15,924.93","19,773.38","43,959.27","28,374.14","15,844.15","63,732.64","8,240.05","21,190.96","12,375.92","15,380.53","62,927.53","24,546.01","41,634.78","20,878.13","32,102.36","22,800.17","12,688.39","9,052.69","16,305.96","8,701.87","27,570.84","39,574.81","16,908.53","87,134.85","27,160.90","60,912.33","2,697.22","4,491.61","4,561.09","3,323.23","2,344.24","2,281.12","3,604.13","5,131.98","4,828.01","3,666.00","2,354.03","2,396.64","11,856.90","16,517.24","15,585.12","11,985.72","7,860.87","7,003.70","5,187.04","7,783.26","7,597.27","5,810.42","3,870.48","3,447.76","6,669.87","8,733.98","7,987.85","6,175.29","3,990.38","3,555.93","16,717.40","36,827.99"
HSM 10-75L,"63,475.27","14,350.47","24,707.39","20,044.52","18,723.37","60,210.97","33,121.59","30,353.68","11,835.21","15,352.99","13,005.99","9,488.20","11,617.98","10,453.74","7,653.88","4,839.42","4,069.07","7,128.56","21,106.18","7,219.68","10,303.08","21,480.74","13,977.61","8,075.81","31,783.82","3,956.41","10,437.11","5,777.40","7,618.03","31,559.92","13,005.99","21,106.18","10,427.15","15,631.38","11,806.98","6,730.38","4,210.90","9,049.58","4,930.17","13,317.48","19,786.34","8,564.18","44,209.79","14,521.97","29,746.79","1,262.12","2,052.36","2,158.54","1,566.49","1,122.11","1,127.31","1,631.64","2,273.56","2,113.95","1,663.93","1,146.86","1,107.96","5,849.36","8,128.25","7,503.12","5,814.36","3,876.97","3,276.76","2,591.83","3,876.68","3,741.36","2,819.08","1,955.80","1,623.13","3,257.53","4,251.58","3,761.76","2,995.28","1,921.18","1,653.63","7,847.84","18,273.44"
HSM below 10L Urban,"141,312.34","30,920.81","44,873.57","41,173.40","55,265.38","129,271.53","72,979.16","68,333.19","26,792.45","34,411.95","28,865.75","21,246.25","26,502.23","22,606.19","16,628.19","10,382.82","9,534.71","20,845.33","47,748.48","13,627.52","19,898.39","41,007.87","26,903.14","15,682.10","60,906.27","7,444.85","19,779.04","10,378.32","14,493.26","70,354.67","28,865.75","47,748.48","22,388.74","29,448.73","25,868.99","16,668.90","7,623.87","21,420.89","13,183.65","25,257.62","43,431.07","19,007.24","95,370.17","31,078.26","63,782.88","2,399.47","4,018.18","3,605.69","2,754.45","2,017.38","1,942.93","3,146.59","4,063.27","3,844.72","3,030.62","1,997.16","2,141.68","11,559.14","15,344.00","14,104.73","11,152.89","7,197.20","6,790.60","5,122.14","7,533.79","6,959.47","5,285.78","3,485.58","3,347.62","6,437.00","7,810.21","7,145.26","5,867.11","3,711.62","3,442.98","14,673.32","38,692.05"
HSM Rural,"352,785.57","78,574.27","69,351.60","113,861.32","169,572.65","310,968.18","182,962.40","169,823.17","81,022.89","104,864.35","75,634.03","51,792.57","60,108.29","52,260.95","37,199.19","23,664.49","22,895.74","57,150.42","111,900.86","20,229.12","53,168.98","82,473.71","54,750.44","34,810.58","135,642.69","11,374.46","37,230.25","14,413.16","28,013.94","164,161.81","75,634.03","111,900.86","48,455.53","58,612.14","64,207.39","44,052.11","10,889.36","64,259.58","40,823.45","48,367.32","98,907.43","43,651.26","236,396.06","91,709.18","142,829.59","3,589.03","5,731.10","5,158.26","3,523.80","2,912.18","3,295.29","4,456.97","6,452.03","5,644.58","4,338.85","2,559.60","2,874.51","23,861.56","30,888.88","27,723.27","20,644.06","13,366.22","13,559.96","10,906.53","14,606.14","13,407.80","9,216.31","6,962.50","7,218.19","12,955.04","16,282.74","14,315.47","11,427.75","6,403.72","6,341.76","22,656.69","85,159.17"
East,"166,507.45","38,706.35","27,871.93","46,212.63","92,422.90","141,327.08","86,152.64","80,354.81","34,975.34","45,262.91","34,371.52","24,083.94","29,278.33","26,079.45","18,603.54","12,172.44","11,026.84","31,322.66","53,362.27","7,959.59","18,998.80","33,633.44","22,039.61","13,441.69","52,632.24","4,212.57","16,018.26","6,053.42","11,971.44","79,441.72","34,371.52","53,362.27","23,908.00","24,219.21","28,282.99","23,352.89","4,535.61","30,158.94","20,929.82","20,513.58","45,261.90","19,773.08","104,941.25","37,454.15","67,986.00","1,307.16","2,487.34","2,048.27","1,517.81","1,262.16","1,431.87","1,799.39","2,365.70","2,488.55","1,766.83","1,341.95","1,609.47","9,414.23","12,625.37","11,593.83","8,919.74","6,226.11","6,306.46","4,138.07","6,457.99","5,513.45","4,046.82","2,817.51","3,137.50","5,276.16","6,167.38","6,080.38","4,872.92","3,408.60","3,168.96","8,869.26","40,762.11"
East Urban,"59,345.85","13,810.86","15,424.53","15,885.41","28,035.91","52,801.90","30,399.63","28,946.22","10,584.40","13,666.42","11,100.15","8,018.12","10,729.24","10,031.61","7,468.83","4,850.65","4,580.97","9,692.69","18,747.37","4,296.37","6,751.55","14,315.05","9,054.67","5,096.40","21,066.59","2,206.17","7,290.22","3,472.26","5,393.63","28,778.97","11,100.15","18,747.37","9,586.73","10,531.50","9,557.79","8,096.36","2,572.45","8,893.98","6,003.75","9,434.19","16,553.32","6,957.75","37,468.07","11,898.38","27,228.51",754.95,"1,358.11","1,214.34",899.80,791.66,858.03,921.77,"1,261.53","1,385.49","1,032.63",803.01,"1,004.68","3,783.55","5,271.13","5,260.37","4,173.82","2,937.18","3,132.35","1,718.92","2,708.69","2,684.95","1,896.58","1,341.34","1,510.39","2,064.63","2,562.44","2,575.42","2,277.24","1,595.84","1,621.96","4,873.33","16,622.76"
